Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP1032,Male,No,2,Not Graduate,No,2468,0,169,360,1.0,Rural,Y
LP1033,Male,Yes,2,Not Graduate,No,5172,0,61,180,0.0,Urban,N
LP1034,Female,No,1,Graduate,No,816,0,124,60,0.0,Urban,N
LP1035,Female,Yes,1,Graduate,No,4393,0,48,180,0.0,Rural,N
LP1036,Female,Yes,1,Graduate,No,1847,0,294,360,1.0,Urban,N
LP1037,Male,Yes,0,Not Graduate,No,10133,1121,112,240,1.0,Semiurban,N
LP1038,Male,Yes,1,Graduate,Yes,7835,6194,305,84,1.0,Urban,Y
LP1039,Male,Yes,2,Not Graduate,No,6502,0,261,360,1.0,Semiurban,N
LP1040,Male,No,3+,Graduate,No,12241,0,122,360,1.0,Rural,N
LP1041,Male,Yes,1,Not Graduate,No,2781,0,84,120,0.0,Urban,N
LP1042,Male,Yes,2,Not Graduate,No,14022,1723,229,60,1.0,Semiurban,Y
LP1043,Male,Yes,0,Not Graduate,No,8598,1542,107,240,1.0,Urban,Y
LP1044,Female,No,1,Graduate,Yes,4264,4163,156,84,1.0,Semiurban,Y
LP1045,Male,Yes,0,Not Graduate,No,9714,3301,128,180,0.0,Urban,N
LP1046,Male,Yes,0,Not Graduate,No,2530,0,60,180,1.0,Urban,Y
LP1047,Male,Yes,2,Not Graduate,No,2996,0,48,360,1.0,Urban,Y
LP1048,Male,No,3+,Not Graduate,Yes,3411,7721,166,360,0.0,Urban,N
LP1049,Male,Yes,0,Graduate,No,3578,1164,112,180,1.0,Rural,Y
LP1050,Male,Yes,1,Graduate,No,2607,1500,112,180,1.0,Semiurban,Y
LP1051,Female,Yes,2,Not Graduate,No,10237,4038,273,180,1.0,Urban,Y
LP1052,Male,Yes,0,Graduate,No,4207,0,266,120,1.0,Semiurban,N
LP1053,Female,No,1,Not Graduate,Yes,6072,0,142,360,0.0,Urban,N
LP1054,Female,No,2,Not Graduate,No,3490,1616,125,180,0.0,Rural,N
LP1055,Male,Yes,1,Graduate,No,1648,0,190,360,1.0,Rural,Y
LP1056,Female,Yes,0,Not Graduate,No,5779,1703,82,360,1.0,Semiurban,Y
LP1057,Male,Yes,0,Graduate,No,1560,1385,165,120,1.0,Rural,Y
LP1058,Male,No,2,Not Graduate,Yes,4716,3567,195,180,1.0,Semiurban,Y
LP1059,Male,Yes,1,Not Graduate,No,2162,1630,208,300,1.0,Urban,N
LP1060,Male,Yes,0,Not Graduate,No,16193,0,73,360,1.0,Semiurban,Y
LP1061,Male,Yes,2,Graduate,No,8491,1046,111,180,1.0,Semiurban,Y
LP1062,Male,No,0,Graduate,No,5236,2231,105,360,0.0,Semiurban,Y
LP1063,Female,Yes,2,Not Graduate,No,10490,2974,202,360,1.0,Rural,Y
LP1064,Male,Yes,0,Not Graduate,No,2957,1490,188,60,1.0,Semiurban,Y
LP1065,Male,No,3+,Not Graduate,No,6809,2117,345,180,1.0,Rural,Y
LP1066,Male,No,0,Graduate,No,5540,1228,127,84,0.0,Rural,N
LP1067,Male,No,0,Graduate,No,5758,2909,127,360,1.0,Semiurban,Y
LP1068,Female,Yes,0,Graduate,No,10545,0,342,60,1.0,Semiurban,Y
LP1069,Male,Yes,0,Not Graduate,No,7627,4652,189,360,1.0,Urban,Y
LP1070,Female,Yes,3+,Graduate,Yes,5844,0,307,84,1.0,Rural,Y
LP1071,Male,No,3+,Graduate,No,1820,3576,171,360,1.0,Semiurban,Y
LP1072,Male,Yes,0,Not Graduate,No,2762,0,83,360,0.0,Urban,N
LP1073,Male,Yes,1,Graduate,No,4565,0,76,180,0.0,Urban,N
LP1074,Female,No,2,Not Graduate,No,5197,2168,75,240,0.0,Semiurban,N
LP1075,Male,No,3+,Not Graduate,No,2494,3540,206,360,1.0,Urban,N
LP1076,Male,Yes,1,Not Graduate,No,20889,2059,349,360,1.0,Urban,Y
LP1077,Male,Yes,0,Graduate,No,12207,2936,486,60,1.0,Semiurban,Y
LP1078,Male,Yes,1,Graduate,No,7053,1903,248,360,0.0,Urban,N
LP1079,Male,Yes,2,Not Graduate,No,5131,2227,291,360,1.0,Semiurban,Y
LP1080,Male,Yes,0,Not Graduate,No,4327,0,111,360,1.0,Urban,Y
LP1081,Female,Yes,1,Not Graduate,No,2776,0,83,360,1.0,Urban,Y
LP1082,Male,Yes,0,Graduate,No,5148,0,249,84,1.0,Semiurban,Y
LP1083,Male,Yes,2,Not Graduate,No,5736,2020,201,120,1.0,Semiurban,Y
LP1084,Male,Yes,0,Not Graduate,No,2333,3493,156,180,1.0,Urban,Y
LP1085,Male,Yes,1,Not Graduate,No,6005,1839,198,300,1.0,Urban,Y
LP1086,Male,Yes,1,Not Graduate,No,4477,3015,174,180,0.0,Semiurban,N
LP1087,Male,Yes,1,Not Graduate,No,1564,1384,282,360,1.0,Urban,Y
LP1088,Male,Yes,0,Not Graduate,Yes,2932,4513,283,360,1.0,Urban,Y
LP1089,Female,No,1,Graduate,No,3834,1446,194,360,1.0,Urban,Y
LP1090,Male,Yes,1,Graduate,No,15254,0,294,360,1.0,Rural,Y
LP1091,Male,Yes,1,Graduate,No,6863,2476,211,240,0.0,Rural,Y
LP1092,Male,No,1,Graduate,Yes,2205,4430,117,120,1.0,Rural,Y
LP1093,Male,Yes,2,Graduate,No,6578,1301,238,360,1.0,Rural,Y
LP1094,Male,No,2,Graduate,No,1942,2273,73,180,1.0,Semiurban,Y
LP1095,Male,Yes,0,Graduate,Yes,9410,2890,276,120,0.0,Semiurban,N
LP1096,Male,Yes,2,Graduate,No,3704,0,81,240,1.0,Semiurban,Y
LP1097,Male,No,1,Not Graduate,No,4646,3724,171,84,1.0,Urban,Y
LP1098,Male,Yes,0,Not Graduate,Yes,10888,0,126,180,1.0,Semiurban,Y
LP1099,Male,Yes,0,Graduate,No,2270,4339,195,120,1.0,Rural,Y
LP1100,Male,Yes,0,Not Graduate,No,2125,0,145,180,1.0,Semiurban,Y
LP1101,Male,Yes,2,Not Graduate,No,3462,0,66,180,0.0,Semiurban,N
LP1102,Male,No,2,Graduate,No,9163,4428,201,360,1.0,Urban,Y
LP1103,Male,No,2,Graduate,No,1975,2340,111,360,0.0,Semiurban,N
LP1104,Male,No,1,Not Graduate,No,898,0,230,180,1.0,Semiurban,Y
LP1105,Female,Yes,1,Not Graduate,Yes,3749,1245,148,360,1.0,Rural,Y
LP1106,Male,No,0,Not Graduate,No,6843,2712,198,360,1.0,Urban,Y
LP1107,Male,No,0,Graduate,No,10098,1587,119,120,0.0,Rural,Y
LP1108,Male,Yes,1,Graduate,No,3722,7687,110,360,1.0,Semiurban,Y
LP1109,Male,Yes,0,Graduate,No,3839,1814,117,180,0.0,Rural,N
LP1110,Male,No,0,Graduate,No,9821,2856,250,180,0.0,Semiurban,N
LP1111,Male,Yes,1,Graduate,Yes,1600,1496,343,240,0.0,Semiurban,N
LP1112,Male,No,2,Graduate,No,3892,4931,99,180,1.0,Semiurban,N
LP1113,Female,Yes,3+,Not Graduate,No,5509,2185,279,360,1.0,Rural,Y
LP1114,Female,Yes,3+,Not Graduate,No,6435,1534,55,180,0.0,Rural,Y
LP1115,Male,Yes,1,Graduate,No,3619,0,81,60,1.0,Urban,Y
LP1116,Female,No,1,Not Graduate,No,5017,4157,101,300,1.0,Urban,Y
LP1117,Female,No,1,Graduate,No,1104,0,75,360,1.0,Rural,N
LP1118,Male,No,2,Graduate,No,3311,0,67,360,1.0,Semiurban,Y
LP1119,Female,Yes,0,Graduate,No,6451,5045,200,84,1.0,Semiurban,Y
LP1120,Male,Yes,1,Not Graduate,No,2726,0,133,360,1.0,Semiurban,Y
LP1121,Female,No,2,Not Graduate,No,5091,1463,197,180,1.0,Urban,Y
LP1122,Female,Yes,0,Not Graduate,No,6426,0,230,360,1.0,Rural,Y
LP1123,Male,Yes,1,Graduate,No,4001,2097,169,360,1.0,Rural,Y
LP1124,Male,No,1,Not Graduate,No,5444,1190,226,360,1.0,Urban,Y
LP1125,Male,Yes,0,Graduate,No,2758,0,143,360,1.0,Urban,N
LP1126,Male,Yes,0,Not Graduate,No,4341,1264,81,180,1.0,Rural,Y
LP1127,Female,Yes,0,Not Graduate,No,7087,2459,277,240,1.0,Urban,Y
LP1128,Female,No,0,Graduate,No,5400,4121,121,360,1.0,Rural,N
LP1129,Male,No,0,Not Graduate,Yes,3456,0,92,120,1.0,Urban,Y
LP1130,Male,Yes,2,Not Graduate,No,5622,2228,149,360,1.0,Semiurban,Y
LP1131,Male,Yes,0,Graduate,No,7545,2314,103,180,1.0,Rural,Y
LP1132,Male,No,1,Not Graduate,No,1436,1075,120,360,0.0,Semiurban,N
LP1133,Male,Yes,0,Graduate,No,9852,999,193,240,1.0,Semiurban,Y
LP1134,Male,Yes,3+,Not Graduate,No,4016,0,176,120,1.0,Semiurban,Y
LP1135,Female,No,0,Not Graduate,No,6344,1483,104,180,1.0,Urban,N
LP1136,Male,Yes,1,Not Graduate,No,10080,6085,151,60,1.0,Urban,Y
LP1137,Male,Yes,3+,Not Graduate,No,2158,0,253,180,1.0,Rural,Y
LP1138,Male,No,2,Not Graduate,No,3210,889,190,240,1.0,Rural,Y
LP1139,Male,Yes,0,Graduate,No,4133,2624,418,120,1.0,Semiurban,Y
LP1140,Female,No,2,Not Graduate,No,3070,3628,267,84,1.0,Semiurban,Y
LP1141,Female,Yes,1,Graduate,No,13918,0,341,180,1.0,Urban,Y
LP1142,Male,No,1,Graduate,No,2939,0,74,360,0.0,Urban,N
LP1143,Male,Yes,0,Graduate,No,3521,0,217,180,1.0,Semiurban,N
LP1144,Male,Yes,0,Graduate,No,5555,2296,158,360,1.0,Rural,Y
LP1145,Male,No,2,Not Graduate,No,2389,0,112,180,1.0,Semiurban,Y
LP1146,Male,No,1,Graduate,Yes,3876,0,161,180,1.0,Rural,Y
LP1147,Male,Yes,1,Not Graduate,No,5945,3100,261,180,0.0,Urban,N
LP1148,Male,Yes,2,Graduate,Yes,4025,0,190,360,1.0,Semiurban,Y
LP1149,Male,Yes,2,Graduate,No,4646,0,95,360,1.0,Urban,Y
LP1150,Male,No,0,Not Graduate,No,3577,0,215,180,0.0,Semiurban,N
LP1151,Female,Yes,1,Graduate,No,1980,3428,107,240,1.0,Urban,N
LP1152,Male,Yes,0,Graduate,No,5960,1483,181,360,1.0,Rural,Y
LP1153,Male,No,2,Not Graduate,Yes,14086,2228,165,360,0.0,Urban,N
LP1154,Male,No,2,Graduate,Yes,4969,0,133,120,1.0,Rural,Y
LP1155,Female,No,3+,Not Graduate,No,5626,5053,239,180,1.0,Semiurban,Y
LP1156,Male,No,0,Graduate,No,7447,0,97,360,1.0,Rural,Y
LP1157,Male,Yes,0,Graduate,No,2294,0,392,360,1.0,Semiurban,Y
LP1158,Male,No,0,Not Graduate,No,13650,3654,77,360,1.0,Rural,N
LP1159,Male,Yes,0,Graduate,Yes,5549,0,121,240,0.0,Urban,N
LP1160,Male,Yes,0,Graduate,No,13083,0,232,360,1.0,Rural,Y
LP1161,Male,No,3+,Graduate,No,3165,0,198,360,1.0,Rural,Y
LP1162,Male,Yes,0,Graduate,No,14630,0,183,360,0.0,Urban,Y
LP1163,Male,Yes,0,Not Graduate,No,7825,1831,158,360,1.0,Urban,N
LP1164,Male,No,2,Graduate,Yes,6848,4215,200,120,1.0,Semiurban,Y
LP1165,Male,No,1,Not Graduate,No,5655,4312,145,360,1.0,Rural,Y
LP1166,Female,No,2,Not Graduate,No,4233,2475,297,360,0.0,Semiurban,N
LP1167,Male,Yes,0,Graduate,No,10100,0,293,180,0.0,Semiurban,N
LP1168,Male,Yes,1,Not Graduate,No,5346,2803,252,360,1.0,Urban,Y
LP1169,Male,Yes,0,Graduate,No,1509,2413,91,360,1.0,Urban,Y
LP1170,Male,Yes,0,Not Graduate,No,2514,1625,142,120,1.0,Rural,N
LP1171,Male,Yes,3+,Graduate,No,4396,3683,127,120,0.0,Urban,N
LP1172,Male,No,0,Not Graduate,No,5919,1498,98,84,1.0,Semiurban,Y
LP1173,Male,Yes,1,Graduate,No,4750,0,177,60,1.0,Rural,Y
LP1174,Male,Yes,1,Graduate,No,10212,4683,147,180,0.0,Urban,Y
LP1175,Male,Yes,0,Not Graduate,No,1524,0,205,360,1.0,Semiurban,N
LP1176,Male,No,3+,Not Graduate,No,5356,4027,95,120,1.0,Urban,Y
LP1177,Male,Yes,0,Graduate,No,1651,0,350,60,1.0,Semiurban,Y
LP1178,Male,Yes,2,Graduate,No,7752,0,104,120,1.0,Urban,Y
LP1179,Female,No,3+,Not Graduate,No,4643,0,165,180,1.0,Rural,Y
LP1180,Male,Yes,1,Not Graduate,No,6321,0,242,360,0.0,Urban,N
LP1181,Male,Yes,3+,Not Graduate,No,2926,0,111,60,1.0,Semiurban,N
LP1182,Male,No,0,Not Graduate,Yes,10590,0,295,120,1.0,Semiurban,Y
LP1183,Female,Yes,1,Not Graduate,No,9182,1903,88,300,1.0,Urban,Y
LP1184,Female,Yes,0,Not Graduate,Yes,6975,0,337,360,1.0,Rural,Y
LP1185,Male,Yes,2,Graduate,No,4547,3866,149,360,1.0,Urban,Y
LP1186,Male,No,3+,Graduate,Yes,6959,2099,121,360,1.0,Semiurban,Y
LP1187,Female,No,0,Not Graduate,No,3215,1700,127,120,0.0,Urban,Y
LP1188,Male,Yes,2,Not Graduate,No,8211,2088,244,360,1.0,Semiurban,Y
LP1189,Male,Yes,0,Graduate,No,13222,0,144,360,1.0,Urban,Y
LP1190,Male,Yes,1,Graduate,No,9342,0,112,300,1.0,Semiurban,Y
LP1191,Male,Yes,1,Not Graduate,No,3172,0,132,360,0.0,Urban,N
LP1192,Female,No,3+,Not Graduate,No,6104,0,90,60,1.0,Rural,N
LP1193,Female,Yes,1,Graduate,No,2262,0,368,360,0.0,Urban,N
LP1194,Male,No,0,Graduate,Yes,6928,2858,122,60,1.0,Rural,Y
LP1195,Male,Yes,0,Graduate,No,6440,0,247,180,0.0,Rural,N
LP1196,Male,Yes,0,Graduate,Yes,1600,0,164,84,1.0,Urban,Y
LP1197,Male,No,0,Graduate,No,2447,1567,90,84,0.0,Semiurban,N
LP1198,Female,No,0,Graduate,No,4146,0,147,360,1.0,Urban,Y
LP1199,Female,Yes,3+,Not Graduate,No,4103,1632,219,360,1.0,Semiurban,Y
LP1200,Male,No,1,Graduate,No,2378,2546,135,360,1.0,Rural,Y
LP1201,Male,No,1,Not Graduate,No,6206,0,296,180,0.0,Semiurban,Y
LP1202,Male,Yes,0,Not Graduate,Yes,5715,2775,272,84,1.0,Semiurban,Y
LP1203,Male,Yes,3+,Graduate,No,4374,0,234,180,0.0,Urban,Y
LP1204,Female,No,2,Not Graduate,No,3122,2163,117,180,0.0,Semiurban,N
LP1205,Male,Yes,0,Graduate,No,9220,1772,95,360,1.0,Urban,Y
LP1206,Male,Yes,2,Not Graduate,No,13269,0,141,120,0.0,Rural,N
LP1207,Male,No,1,Graduate,No,3677,1563,163,240,1.0,Semiurban,Y
LP1208,Male,Yes,0,Not Graduate,No,3403,1327,194,360,1.0,Rural,N
LP1209,Male,Yes,1,Not Graduate,No,6599,2643,55,180,1.0,Urban,Y
LP1210,Male,Yes,1,Graduate,No,3964,0,147,360,1.0,Urban,Y
LP1211,Male,Yes,0,Graduate,No,4520,0,160,180,1.0,Urban,Y
LP1212,Male,No,3+,Not Graduate,No,7660,3386,142,180,1.0,Urban,Y
LP1213,Male,Yes,2,Not Graduate,No,1563,3660,283,360,1.0,Urban,Y
LP1214,Male,Yes,2,Graduate,No,10839,0,238,360,1.0,Rural,Y
LP1215,Male,No,1,Not Graduate,No,5133,2185,314,360,1.0,Rural,Y
LP1216,Male,Yes,1,Graduate,Yes,3839,1683,133,180,1.0,Semiurban,Y
LP1217,Male,Yes,2,Not Graduate,No,4658,0,237,180,0.0,Semiurban,N
LP1218,Male,Yes,1,Graduate,No,4805,0,336,360,1.0,Urban,Y
LP1219,Male,Yes,0,Not Graduate,No,1739,2282,285,120,1.0,Rural,N
LP1220,Female,No,1,Graduate,No,12051,0,111,120,1.0,Urban,Y
LP1221,Male,Yes,2,Graduate,Yes,5038,0,143,360,1.0,Rural,Y
LP1222,Male,Yes,1,Graduate,No,6411,2999,137,360,0.0,Semiurban,Y
LP1223,Male,No,0,Graduate,No,8698,2986,208,120,1.0,Urban,Y
LP1224,Male,Yes,2,Not Graduate,No,2663,0,209,240,1.0,Rural,N
LP1225,Male,Yes,0,Graduate,No,6529,1854,107,360,1.0,Urban,N
LP1226,Male,Yes,0,Not Graduate,Yes,4185,1745,153,360,1.0,Semiurban,Y
LP1227,Female,Yes,0,Graduate,No,8168,4384,59,360,0.0,Semiurban,Y
LP1228,Male,Yes,0,Graduate,Yes,1371,0,305,180,0.0,Urban,N
LP1229,Female,No,2,Graduate,No,4631,0,114,360,1.0,Semiurban,N
LP1230,Male,No,1,Graduate,No,3423,4406,152,360,1.0,Semiurban,Y
LP1231,Male,Yes,0,Graduate,No,6370,0,139,180,1.0,Rural,Y
LP1232,Male,Yes,3+,Graduate,No,6516,0,289,180,1.0,Urban,Y
LP1233,Male,Yes,3+,Graduate,No,3214,0,35,360,0.0,Rural,N
LP1234,Male,No,3+,Graduate,No,3205,3104,147,360,0.0,Urban,N
LP1235,Male,Yes,0,Not Graduate,No,4599,2832,140,180,1.0,Urban,Y
LP1236,Male,Yes,1,Not Graduate,No,2869,1419,118,360,0.0,Urban,N
LP1237,Male,Yes,3+,Graduate,No,8145,2123,386,360,1.0,Urban,Y
LP1238,Male,No,2,Graduate,Yes,3938,0,95,84,1.0,Urban,Y
LP1239,Male,Yes,0,Not Graduate,No,859,0,218,360,1.0,Rural,Y
LP1240,Male,No,0,Not Graduate,No,3924,2061,177,120,1.0,Urban,Y
LP1241,Female,No,1,Not Graduate,No,2635,1491,278,84,1.0,Urban,N
LP1242,Female,No,3+,Graduate,No,1846,4926,106,360,1.0,Urban,Y
LP1243,Female,No,1,Not Graduate,No,2339,0,102,360,1.0,Rural,Y
LP1244,Male,Yes,1,Not Graduate,Yes,5248,1877,282,180,1.0,Rural,Y
LP1245,Male,Yes,0,Not Graduate,No,10907,0,238,84,0.0,Urban,Y
LP1246,Female,Yes,2,Not Graduate,No,5930,3123,75,240,1.0,Urban,Y
LP1247,Male,No,2,Graduate,No,3415,0,113,120,1.0,Urban,Y
LP1248,Female,No,0,Graduate,Yes,6461,2032,198,360,0.0,Urban,Y
LP1249,Female,No,2,Not Graduate,No,3731,2262,225,180,0.0,Urban,N
LP1250,Female,No,3+,Not Graduate,No,3239,0,105,360,0.0,Semiurban,N
LP1251,Male,Yes,0,Graduate,No,2458,1866,34,180,1.0,Urban,Y
LP1252,Male,Yes,1,Graduate,Yes,1717,2138,192,360,1.0,Semiurban,N
LP1253,Female,No,0,Graduate,No,3889,0,80,360,1.0,Urban,Y
LP1254,Male,Yes,2,Graduate,No,5403,2026,59,120,1.0,Rural,Y
LP1255,Male,No,1,Not Graduate,No,4637,1695,36,180,0.0,Rural,Y
LP1256,Male,No,1,Not Graduate,No,3829,0,222,360,1.0,Semiurban,Y
LP1257,Female,Yes,2,Graduate,No,2786,3399,158,360,1.0,Semiurban,Y
LP1258,Male,Yes,0,Graduate,No,7079,1630,145,60,1.0,Semiurban,Y
LP1259,Male,Yes,3+,Graduate,Yes,2229,5285,297,120,1.0,Semiurban,Y
LP1260,Male,Yes,1,Graduate,No,7829,0,224,360,0.0,Rural,N
LP1261,Male,Yes,0,Not Graduate,No,2693,0,333,360,1.0,Semiurban,Y
LP1262,Female,Yes,2,Not Graduate,No,3129,8160,73,360,1.0,Rural,Y
LP1263,Male,No,2,Not Graduate,No,2038,0,145,84,1.0,Rural,Y
LP1264,Male,Yes,0,Graduate,No,3637,1686,66,180,1.0,Urban,Y
LP1265,Female,Yes,3+,Not Graduate,No,8823,4429,145,180,1.0,Semiurban,Y
LP1266,Male,Yes,3+,Not Graduate,No,6696,3924,144,180,1.0,Urban,Y
LP1267,Male,Yes,0,Not Graduate,No,8840,0,223,360,1.0,Urban,Y
LP1268,Male,Yes,3+,Graduate,No,6722,0,167,120,1.0,Semiurban,Y
LP1269,Male,Yes,0,Graduate,No,2534,2755,202,180,0.0,Urban,N
LP1270,Male,Yes,0,Graduate,No,4030,0,210,360,0.0,Rural,N
LP1271,Female,Yes,0,Graduate,No,3077,2272,435,360,0.0,Urban,N
LP1272,Female,No,3+,Graduate,No,10919,0,164,180,1.0,Semiurban,Y
LP1273,Female,No,2,Graduate,No,2396,3617,92,240,1.0,Semiurban,Y
LP1274,Female,Yes,0,Graduate,No,8401,813,184,360,1.0,Semiurban,Y
LP1275,Male,Yes,1,Not Graduate,No,8398,2250,109,60,0.0,Semiurban,Y
LP1276,Male,Yes,1,Graduate,No,14731,3451,404,120,0.0,Rural,N
LP1277,Male,No,0,Graduate,No,3843,0,128,360,0.0,Semiurban,N
LP1278,Male,No,3+,Not Graduate,No,7535,3265,123,360,1.0,Semiurban,Y
LP1279,Male,No,2,Not Graduate,No,19321,4432,152,360,0.0,Urban,N
LP1280,Male,Yes,1,Not Graduate,No,3392,1848,212,120,1.0,Semiurban,Y
LP1281,Female,No,3+,Not Graduate,No,1956,3613,137,360,1.0,Rural,N
LP1282,Male,Yes,1,Not Graduate,No,1590,3330,107,360,1.0,Semiurban,Y
LP1283,Male,Yes,3+,Not Graduate,No,7537,2293,375,180,1.0,Rural,Y
LP1284,Male,No,2,Graduate,No,1587,1836,96,120,1.0,Semiurban,Y
LP1285,Male,Yes,1,Graduate,No,3930,1684,151,360,1.0,Urban,Y
LP1286,Male,Yes,0,Graduate,Yes,6389,4655,226,360,1.0,Urban,Y
LP1287,Male,Yes,3+,Graduate,No,5492,0,72,180,1.0,Urban,Y
LP1288,Male,Yes,1,Graduate,No,6344,1202,207,180,0.0,Semiurban,Y
LP1289,Male,Yes,0,Not Graduate,No,5615,0,96,120,1.0,Rural,Y
LP1290,Male,Yes,0,Not Graduate,No,10586,2722,291,360,1.0,Urban,Y
LP1291,Male,Yes,1,Not Graduate,No,2775,1568,91,120,0.0,Semiurban,N
LP1292,Male,No,1,Graduate,No,3274,669,209,180,0.0,Semiurban,N
LP1293,Female,Yes,2,Not Graduate,No,3091,1470,257,180,1.0,Semiurban,N
LP1294,Male,Yes,3+,Not Graduate,No,8087,3729,251,180,1.0,Urban,N
LP1295,Male,Yes,0,Graduate,No,8435,0,185,360,1.0,Urban,Y
LP1296,Male,Yes,2,Not Graduate,No,6442,0,145,360,1.0,Urban,Y
LP1297,Male,Yes,0,Graduate,No,9997,0,122,180,1.0,Urban,Y
LP1298,Male,Yes,3+,Graduate,No,2424,0,309,180,0.0,Urban,N
LP1299,Male,Yes,2,Not Graduate,No,13364,3555,135,180,1.0,Urban,Y
LP1300,Male,Yes,1,Graduate,No,12258,1347,114,360,0.0,Semiurban,Y
LP1301,Male,Yes,2,Graduate,No,7641,3093,227,84,0.0,Urban,Y
LP1302,Male,Yes,0,Not Graduate,No,14315,1702,129,180,0.0,Rural,N
LP1303,Male,Yes,1,Not Graduate,No,1818,962,92,360,1.0,Urban,Y
LP1304,Male,No,2,Graduate,No,3587,3759,72,360,0.0,Urban,N
LP1305,Male,No,1,Graduate,No,3161,0,116,120,1.0,Semiurban,Y
LP1306,Female,Yes,0,Graduate,No,7577,2049,156,120,1.0,Urban,Y
LP1307,Male,No,1,Not Graduate,No,2617,1658,167,180,1.0,Rural,Y
LP1308,Male,Yes,2,Graduate,No,7742,1810,262,84,1.0,Urban,Y
LP1309,Male,No,0,Graduate,Yes,11184,738,251,360,1.0,Rural,Y
LP1310,Male,No,0,Not Graduate,No,7458,0,148,360,1.0,Rural,Y
LP1311,Male,Yes,2,Not Graduate,No,5826,2561,147,84,1.0,Semiurban,Y
LP1312,Male,Yes,2,Graduate,No,2716,2270,191,84,1.0,Semiurban,Y
LP1313,Male,Yes,0,Not Graduate,Yes,2956,0,280,180,1.0,Semiurban,N
LP1314,Female,Yes,0,Not Graduate,No,10402,3157,205,60,1.0,Semiurban,Y
LP1315,Female,No,0,Graduate,Yes,7844,1608,129,360,0.0,Semiurban,N
LP1316,Male,Yes,0,Graduate,No,4801,1825,90,60,1.0,Urban,Y
LP1317,Male,Yes,1,Not Graduate,No,3824,0,72,360,1.0,Urban,Y
LP1318,Male,No,2,Graduate,No,1457,0,207,360,1.0,Semiurban,Y
LP1319,Male,No,2,Not Graduate,Yes,2585,1797,198,360,1.0,Semiurban,Y
LP1320,Male,Yes,1,Graduate,No,15472,1692,257,360,1.0,Rural,Y
LP1321,Male,Yes,0,Graduate,No,2279,6280,139,360,1.0,Urban,Y
LP1322,Male,Yes,2,Graduate,No,5506,2501,329,360,0.0,Rural,N
LP1323,Male,Yes,1,Graduate,No,8995,0,128,360,1.0,Urban,Y
